id,category,question,option1,option2,option3,option4,answer,explanation
q1,데이터와 정보,다음 중 데이터(Data)에 해당하는 것은?,평균 점수는 80점이다,학생들의 성적 분석 결과,홍길동,이번 달 매출 증가율은 5%이다,3,데이터는 가공 전의 단순한 사실이나 값이다.
q2,데이터와 정보,다음 중 정보(Information)에 해당하는 것은?,180,25,평균 키는 172cm이다,A101,3,정보는 데이터를 처리하여 의미를 갖게 된 결과이다.
q3,데이터와 정보,데이터 처리 과정의 일반적인 순서로 옳은 것은?,정보-자료-처리,자료-처리-정보,처리-자료-정보,정보-처리-자료,2,자료를 처리하면 의미 있는 정보가 된다.
q4,정보시스템,거래처리시스템을 의미하는 약어는?,MIS,DSS,TPS,ESS,3,TPS는 Transaction Processing System의 약어이다.
q5,정보시스템,경영정보시스템을 의미하는 약어는?,MIS,DSS,TPS,ERP,1,MIS는 Management Information System의 약어이다.
q6,정보시스템,의사결정지원시스템을 의미하는 약어는?,DSS,TPS,ESS,CRM,1,DSS는 Decision Support System의 약어이다.
q7,정보시스템,임원정보시스템을 의미하는 약어는?,TPS,MIS,DSS,ESS,4,ESS는 Executive Support System의 약어이다.
q8,정보시스템,은행 입출금 처리와 가장 관련 깊은 시스템은?,DSS,TPS,ESS,KMS,2,은행 입출금처럼 반복적인 거래를 처리하는 시스템은 TPS이다.
q9,데이터베이스,데이터베이스의 정의로 가장 적절한 것은?,중복을 위해 흩어 저장한 파일,여러 사용자가 공유할 수 있도록 통합 저장한 데이터의 집합,그림 파일만 저장하는 공간,프로그램 명령어 모음,2,데이터베이스는 통합 저장된 공유 데이터의 집합이다.
q10,데이터베이스,DBMS의 역할로 옳은 것은?,데이터베이스 관리,문서 편집,이미지 압축,운영체제 설치,1,DBMS는 데이터베이스를 생성하고 관리하는 소프트웨어이다.
q11,데이터베이스,관계형 데이터베이스에서 행(row)을 의미하는 것은?,속성,도메인,튜플,스키마,3,릴레이션에서 행은 튜플이라고 한다.
q12,데이터베이스,관계형 데이터베이스에서 열(column)을 의미하는 것은?,튜플,속성,레코드,인스턴스,2,릴레이션에서 열은 속성이라고 한다.
q13,데이터베이스,기본키의 특징으로 옳은 것은?,중복 허용 NULL 허용,중복 불가 NULL 허용,중복 허용 NULL 불가,중복 불가 NULL 불가,4,기본키는 중복될 수 없고 NULL도 허용하지 않는다.
q14,데이터베이스,외래키에 대한 설명으로 옳은 것은?,항상 숫자만 가능하다,다른 테이블의 기본키를 참조한다,NULL만 저장한다,테이블 이름을 의미한다,2,외래키는 다른 릴레이션의 기본키를 참조하는 속성이다.
q15,데이터베이스,개체 무결성과 가장 관련 깊은 것은?,기본키는 NULL일 수 없다,외래키는 반드시 문자열이다,데이터는 반드시 정렬되어야 한다,속성 이름은 중복 가능하다,1,개체 무결성은 기본키가 NULL이 될 수 없다는 제약이다.
q16,데이터베이스,참조 무결성과 가장 관련 깊은 것은?,기본키의 중복 허용,외래키가 참조하는 값의 존재,속성 순서 고정,튜플 순서 고정,2,참조 무결성은 외래키가 참조하는 값이 존재해야 함을 뜻한다.
q17,데이터베이스,릴레이션의 특성으로 옳지 않은 것은?,튜플의 순서는 의미가 없다,속성의 순서는 의미가 없다,같은 튜플이 중복될 수 있다,각 속성 값은 원자값이다,3,관계형 모델에서는 동일한 튜플의 중복을 허용하지 않는다.
q18,데이터베이스,스키마에 대한 설명으로 옳은 것은?,데이터베이스의 구조와 제약조건,실제 저장된 데이터 값,검색 결과 화면,데이터 삭제 명령,1,스키마는 데이터베이스의 논리적 구조와 제약조건을 의미한다.
q19,데이터베이스,SQL에서 데이터를 조회하는 명령어는?,INSERT,UPDATE,SELECT,DELETE,3,SELECT는 데이터 검색에 사용된다.
q20,데이터베이스,SQL에서 새로운 레코드를 삽입하는 명령어는?,INSERT,SELECT,DROP,ALTER,1,INSERT는 데이터를 삽입하는 명령이다.
q21,데이터베이스,SQL에서 데이터를 수정하는 명령어는?,SELECT,UPDATE,CREATE,COMMIT,2,UPDATE는 기존 데이터를 수정한다.
q22,데이터베이스,SQL에서 데이터를 삭제하는 명령어는?,DELETE,ORDER,GROUP,WHERE,1,DELETE는 조건에 맞는 데이터를 삭제한다.
q23,데이터베이스,정규화의 주된 목적은?,데이터 중복 증가,데이터 중복 감소와 이상 현상 방지,파일 크기 증가,테이블 삭제,2,정규화는 중복을 줄이고 삽입 삭제 수정 이상을 방지한다.
q24,데이터베이스,데이터웨어하우스의 설명으로 옳은 것은?,일상 거래만 즉시 처리하는 시스템,의사결정을 위해 여러 데이터를 통합 저장한 저장소,개인용 메모장,그래픽 편집 도구,2,데이터웨어하우스는 분석과 의사결정을 위한 통합 데이터 저장소이다.
q25,데이터마이닝,데이터마이닝의 목적은?,데이터 삭제,데이터 압축,의미 있는 패턴 발견,운영체제 설치,3,데이터마이닝은 대량 데이터에서 의미 있는 패턴이나 규칙을 찾는다.
q26,통계 기초,산술평균을 구하는 방법은?,최댓값과 최솟값의 차이,자료값의 합을 자료 개수로 나눈다,가장 자주 나온 값을 찾는다,자료를 크기순으로 정렬한다,2,평균은 총합을 개수로 나눈 값이다.
q27,통계 기초,중앙값에 대한 설명으로 옳은 것은?,가장 큰 값,가장 작은 값,자료를 정렬했을 때 가운데 위치의 값,가장 자주 나온 값,3,중앙값은 정렬된 자료의 가운데 값이다.
q28,통계 기초,최빈값에 대한 설명으로 옳은 것은?,자료의 합,가장 자주 나타나는 값,가운데 값,자료 개수,2,최빈값은 빈도가 가장 높은 값이다.
q29,통계 기초,범위(range)를 구하는 방법은?,최댓값-최솟값,평균-중앙값,자료의 합/개수,분산의 제곱근,1,범위는 최댓값에서 최솟값을 뺀 값이다.
q30,통계 기초,분산에 대한 설명으로 옳은 것은?,자료가 평균에서 얼마나 흩어져 있는지 나타낸다,가장 자주 나온 값이다,자료의 가운데 값이다,최댓값과 최솟값의 평균이다,1,분산은 평균으로부터의 흩어진 정도를 나타낸다.
q31,통계 기초,표준편차에 대한 설명으로 옳은 것은?,분산의 제곱근,분산의 제곱,평균의 제곱근,중앙값의 제곱,1,표준편차는 분산의 제곱근이다.
q32,통계 기초,사분위수 범위(IQR)의 계산식은?,Q1+Q3,Q3-Q1,Q2-Q1,최댓값-최솟값,2,IQR은 제3사분위수에서 제1사분위수를 뺀 값이다.
q33,통계 기초,50% 백분위수는 무엇이라고도 하는가?,최빈값,평균,중앙값,범위,3,50% 백분위수는 중앙값이다.
q34,통계 기초,25% 백분위수는 일반적으로 무엇을 의미하는가?,제1사분위수,제2사분위수,제3사분위수,최빈값,1,25% 백분위수는 제1사분위수 Q1이다.
q35,통계 기초,75% 백분위수는 일반적으로 무엇을 의미하는가?,제1사분위수,제2사분위수,제3사분위수,최솟값,3,75% 백분위수는 제3사분위수 Q3이다.
q36,통계 기초,"자료 1,2,3,4,5의 평균은?",2,3,4,5,2,합 15를 개수 5로 나누면 3이다.
q37,통계 기초,"자료 1,2,2,3,4의 최빈값은?",1,2,3,4,2,2가 가장 많이 나타난다.
q38,통계 기초,"자료 10,20,30의 중앙값은?",10,20,30,60,2,정렬했을 때 가운데 값은 20이다.
q39,통계 기초,줄기-잎 그림에서 줄기는 보통 무엇을 나타내는가?,자료의 앞자리,자료의 빈도,자료의 평균,자료의 제곱,1,줄기는 자료 값의 앞자리 또는 큰 단위를 나타낸다.
q40,통계 기초,줄기-잎 그림에서 잎은 보통 무엇을 나타내는가?,자료의 마지막 자리,자료의 평균,자료의 분산,자료의 개수만,1,잎은 자료 값의 마지막 자리 또는 작은 단위를 나타낸다.
q41,R 프로그래밍,R에서 벡터를 생성하는 함수는?,mean(),c(),data.frame(),read.csv(),2,c() 함수는 여러 값을 묶어 벡터를 만든다.
q42,R 프로그래밍,R에서 평균을 계산하는 함수는?,sum(),mean(),max(),min(),2,mean()은 평균을 계산한다.
q43,R 프로그래밍,R에서 합계를 계산하는 함수는?,sum(),mean(),length(),sd(),1,sum()은 값들의 합계를 계산한다.
q44,R 프로그래밍,R에서 최댓값을 계산하는 함수는?,min(),max(),mean(),list(),2,max()는 최댓값을 반환한다.
q45,R 프로그래밍,R에서 최솟값을 계산하는 함수는?,min(),max(),sum(),sd(),1,min()은 최솟값을 반환한다.
q46,R 프로그래밍,R에서 자료 개수를 구하는 함수는?,length(),mean(),sqrt(),table(),1,length()는 벡터의 원소 개수를 구한다.
q47,R 프로그래밍,R에서 표본표준편차를 구하는 함수는?,var(),sd(),sum(),median(),2,sd()는 표본표준편차를 계산한다.
q48,R 프로그래밍,R에서 표본분산을 구하는 함수는?,sd(),var(),mean(),range(),2,var()는 표본분산을 계산한다.
q49,R 프로그래밍,R에서 중앙값을 구하는 함수는?,median(),mode(),mean(),sum(),1,median()은 중앙값을 계산한다.
q50,R 프로그래밍,R에서 데이터프레임을 생성하는 함수는?,frame(),dataframe(),data.frame(),table.frame(),3,data.frame()은 표 형태의 데이터프레임을 만든다.
q51,R 프로그래밍,"다음 R 코드의 결과는? x<-c(1,2,3); sum(x)",3,5,6,9,3,1+2+3=6이다.
q52,R 프로그래밍,"다음 R 코드의 결과는? mean(c(2,4,6))",2,3,4,6,3,"2,4,6의 평균은 4이다."
q53,R 프로그래밍,"다음 R 코드의 결과는? max(c(10,20,30))",10,20,30,60,3,가장 큰 값은 30이다.
q54,R 프로그래밍,"다음 R 코드의 결과는? min(c(10,20,30))",10,20,30,60,1,가장 작은 값은 10이다.
q55,R 프로그래밍,"다음 R 코드의 결과는? length(c(4,5,6,7))",3,4,5,22,2,원소가 4개이다.
q56,R 프로그래밍,다음 R 코드의 결과는? 2^3,5,6,8,9,3,R에서 ^는 거듭제곱 연산자이다.
q57,R 프로그래밍,다음 R 코드의 결과는? sqrt(16),2,4,8,16,2,sqrt()는 제곱근을 구하므로 4이다.
q58,R 프로그래밍,그룹별 평균을 구하는 R 명령으로 옳은 것은?,"sapply(salary, sex, mean)","tapply(salary, sex, mean)","tapply(mean, sex, salary)","sapply(mean, sex, salary)",2,"tapply(계산할 변수, 그룹 변수, 함수) 형식이다."
q59,R 프로그래밍,"리스트 list(v1=10,v2=20)에서 v1 값을 꺼내는 방법은?",x$v1,x(v1),x:v1,x#v1,1,리스트의 이름 있는 요소는 $로 접근한다.
q60,R 프로그래밍,"data.frame에서 dframe[1,2]의 의미는?",1열 2행,1행 2열,1행 전체,2열 전체,2,"데이터프레임 인덱싱은 [행, 열] 순서이다."
q61,R 프로그래밍,R에서 CSV 파일을 읽는 함수는?,open.csv(),read.csv(),load.csv(),csv.read(),2,read.csv()는 CSV 파일을 데이터프레임으로 읽는다.
q62,R 프로그래밍,R에서 앞부분 일부 데이터를 확인하는 함수는?,head(),tail(),mean(),plot(),1,head()는 데이터의 앞부분을 보여준다.
q63,R 프로그래밍,R에서 요약 통계를 확인하는 함수는?,summary(),attach(),c(),list(),1,summary()는 데이터의 요약 정보를 제공한다.
q64,R 프로그래밍,R에서 산점도를 그릴 때 주로 사용하는 함수는?,plot(),sum(),mean(),c(),1,plot()은 그래프를 그릴 때 사용한다.
q65,R 프로그래밍,R에서 상관계수를 구하는 함수는?,cor(),cov(),sd(),var(),1,cor()은 상관계수를 계산한다.
q66,R 프로그래밍,R에서 대입 연산자로 자주 쓰이는 것은?,==,<-,!=,>=,2,R에서는 <-를 대입 연산자로 많이 사용한다.
q67,엑셀,엑셀에서 합계를 구하는 함수는?,SUM,AVERAGE,COUNT,MAX,1,SUM 함수는 합계를 계산한다.
q68,엑셀,엑셀에서 평균을 구하는 함수는?,SUM,AVERAGE,COUNT,MIN,2,AVERAGE 함수는 평균을 계산한다.
q69,엑셀,엑셀에서 개수를 세는 함수는?,COUNT,SUM,AVERAGE,IF,1,COUNT 함수는 숫자 데이터의 개수를 센다.
q70,엑셀,엑셀에서 최댓값을 구하는 함수는?,MAX,MIN,SUM,LEFT,1,MAX 함수는 최댓값을 반환한다.
q71,엑셀,엑셀에서 최솟값을 구하는 함수는?,MAX,MIN,SUM,RIGHT,2,MIN 함수는 최솟값을 반환한다.
q72,엑셀,엑셀에서 조건에 따라 다른 값을 표시하는 함수는?,IF,SUM,LEFT,MID,1,IF 함수는 조건식의 참 거짓에 따라 다른 값을 반환한다.
q73,엑셀,엑셀에서 문자열의 왼쪽 일부를 추출하는 함수는?,RIGHT,LEFT,MID,LEN,2,LEFT 함수는 왼쪽에서 지정한 개수만큼 문자를 추출한다.
q74,엑셀,엑셀에서 문자열의 오른쪽 일부를 추출하는 함수는?,RIGHT,LEFT,MID,IF,1,RIGHT 함수는 오른쪽에서 지정한 개수만큼 문자를 추출한다.
q75,엑셀,엑셀에서 문자열의 중간 일부를 추출하는 함수는?,LEFT,RIGHT,MID,SUM,3,MID 함수는 시작 위치와 개수를 지정해 문자를 추출한다.
q76,엑셀,엑셀에서 절대참조 형태로 옳은 것은?,A1,$A$1,A$1,$A1,2,행과 열 모두 고정하려면 $A$1처럼 쓴다.
q77,엑셀,엑셀에서 상대참조 형태로 옳은 것은?,A1,$A$1,A$1,$A1,1,A1은 행과 열이 모두 상대참조이다.
q78,엑셀,엑셀 수식 =SUM(A1:A3)의 의미는?,A1부터 A3까지 합계,A1과 A3만 곱하기,A1의 평균,A3만 출력,1,콜론은 범위를 의미하므로 A1부터 A3까지의 합계이다.
q79,엑셀,"A1:A3 값이 1,2,3일 때 =SUM(A1:A3)의 결과는?",3,5,6,9,3,1+2+3=6이다.
q80,엑셀,"A1:A3 값이 2,4,6일 때 =AVERAGE(A1:A3)의 결과는?",2,3,4,6,3,평균은 (2+4+6)/3=4이다.
q81,엑셀,"=SUMPRODUCT(A1:A3,B1:B3)의 기능은?",각 범위의 대응 값끼리 곱한 후 합산,평균 계산,문자 추출,조건 비교만 수행,1,SUMPRODUCT는 배열의 대응 원소 곱의 합을 계산한다.
q82,엑셀,"A1:A3이 1,2,3이고 B1:B3이 3,2,1일 때 =SUMPRODUCT(A1:A3,B1:B3)의 결과는?",8,9,10,12,3,1×3+2×2+3×1=10이다.
q83,엑셀,"=LEFT(""A123"",1)의 결과는?",A,1,12,123,1,LEFT는 왼쪽 첫 글자를 가져온다.
q84,엑셀,"=RIGHT(""A123"",1)의 결과는?",A,1,3,23,3,RIGHT는 오른쪽 첫 글자를 가져온다.
q85,엑셀,"=MID(""A123"",2,2)의 결과는?",A1,12,23,123,2,2번째 위치부터 2글자를 추출하면 12이다.
q86,엑셀,학과코드 A1에서 첫 글자를 가져오려면 알맞은 수식은?,"=LEFT(A2,1)","=RIGHT(A2,1)",=SUM(A2),=AVERAGE(A2),1,"첫 글자 추출에는 LEFT(셀,1)을 사용할 수 있다."
q87,엑셀,"A이면 정보통계학과, B이면 경영학과를 표시하는 수식으로 적절한 것은?","=IF(LEFT(A2,1)=""A"",""정보통계학과"",""경영학과"")","=IF(RIGHT(A2,1)=""A"",""정보통계학과"",""경영학과"")",=SUM(A2),=COUNT(A2),1,첫 글자가 A인지 확인하여 학과명을 반환한다.
q88,엑셀,엑셀에서 비율 표현에 가장 적합한 차트는?,원형 차트,꺾은선 차트,분산형 차트,방사형 차트,1,전체에 대한 구성 비율은 원형 차트가 적합하다.
q89,엑셀,시간에 따른 변화 추세를 표현하기에 적합한 차트는?,원형 차트,꺾은선 차트,도넛 차트,영역 없는 차트,2,시간의 흐름에 따른 변화는 꺾은선 차트가 적합하다.
q90,엑셀,항목별 크기를 비교하기에 적합한 차트는?,막대 차트,원형 차트,분산형 차트,레이더 차트,1,항목 간 크기 비교에는 막대 차트가 적합하다.
q91,데이터 분석,상관관계에 대한 설명으로 옳은 것은?,두 변수 사이의 관련성,자료의 개수,최솟값,데이터 삭제 방식,1,상관관계는 두 변수 사이의 관련 정도를 나타낸다.
q92,데이터 분석,상관계수가 1에 가까울 때의 의미는?,강한 양의 상관관계,강한 음의 상관관계,상관관계 없음,자료 개수 부족,1,상관계수가 1에 가까우면 한 변수가 증가할 때 다른 변수도 증가하는 경향이 강하다.
q93,데이터 분석,상관계수가 -1에 가까울 때의 의미는?,강한 양의 상관관계,강한 음의 상관관계,상관관계 없음,평균이 0,2,-1에 가까우면 한 변수가 증가할 때 다른 변수는 감소하는 경향이 강하다.
q94,데이터 분석,상관계수가 0에 가까울 때의 의미는?,선형 상관관계가 약함,항상 같은 값,완전한 양의 상관,완전한 음의 상관,1,0에 가까우면 선형적인 관련성이 약하다.
q95,데이터 분석,산점도는 주로 무엇을 확인하기 위해 사용하는가?,두 변수의 관계,문자열 길이,데이터베이스 권한,파일 이름,1,산점도는 두 변수 사이의 관계를 시각적으로 확인하는 그래프이다.
q96,확률과 통계,히스토그램은 무엇을 나타내는 데 적합한가?,자료의 분포,데이터베이스 키,문자열 결합,파일 위치,1,히스토그램은 연속형 자료의 분포를 보여준다.
q97,확률과 통계,도수분포표에서 도수란?,각 구간에 속한 자료의 개수,자료의 평균,최댓값,표준편차,1,도수는 특정 값 또는 구간에 속하는 자료의 개수이다.
q98,확률과 통계,누적도수란?,도수를 차례로 더한 값,도수를 나눈 값,평균값,최빈값,1,누적도수는 각 계급까지의 도수를 누적한 값이다.
q99,데이터 윤리,개인정보 보호의 목적으로 옳은 것은?,개인 식별 정보의 오남용 방지,데이터 중복 증가,파일 크기 확대,통계 계산 생략,1,개인정보 보호는 개인을 식별할 수 있는 정보의 오남용을 막기 위한 것이다.
q100,데이터 윤리,데이터를 사용할 때 출처를 표시해야 하는 이유로 적절한 것은?,신뢰성과 저작권 보호,계산 속도 향상,파일 자동 삭제,문자열 길이 감소,1,출처 표시는 자료의 신뢰성을 높이고 저작권을 존중하는 행위이다.
